사용월,호선명,역ID,지하철역,승차승객수,하차승객수,
Dec.21,1호선,1,서울역,"1,182,429","1,142,388",
Dec.21,1호선,10,동묘앞,"235,271","242,269",
Dec.21,1호선,2,시청,"570,037","569,533",
Dec.21,1호선,3,종각,"872,179","849,374",
Dec.21,1호선,4,종로3가,"657,289","609,809",
Dec.21,1호선,5,종로5가,"579,293","573,290",
Dec.21,1호선,6,동대문,"308,782","289,581",
Dec.21,1호선,7,신설동,"362,626","352,755",
Dec.21,1호선,8,제기동,"444,099","450,380",
Dec.21,1호선,9,청량리(서울시립대입구),"531,577","532,913",
Dec.21,2호선,11,시청,"586,669","551,102",
Dec.21,2호선,12,을지로입구,"1,069,664","1,069,622",
Dec.21,2호선,13,을지로3가,"573,964","574,273",
Dec.21,2호선,14,을지로4가,"332,430","329,662",
Dec.21,2호선,15,동대문역사문화공원(DDP),"335,328","378,624",
Dec.21,2호선,16,신당,"373,748","390,768",
Dec.21,2호선,17,상왕십리,"382,611","371,914",
Dec.21,2호선,18,왕십리(성동구청),"445,324","377,845",
Dec.21,2호선,19,한양대,"201,984","214,468",
Dec.21,2호선,20,뚝섬,"579,942","615,139",
Dec.21,2호선,21,성수,"952,644","1,035,441",
Dec.21,2호선,22,건대입구,"971,147","1,044,409",
Dec.21,2호선,23,구의(광진구청),"633,120","623,857",
Dec.21,2호선,24,강변(동서울터미널),"837,803","811,507",
Dec.21,2호선,25,잠실나루,"365,313","353,786",
Dec.21,2호선,26,잠실(송파구청),"1,976,472","1,951,450",
Dec.21,2호선,27,잠실새내,"568,629","572,497",
Dec.21,2호선,28,종합운동장,"190,465","205,625",
Dec.21,2호선,29,삼성(무역센터),"1,421,094","1,426,269",
Dec.21,2호선,30,선릉,"1,408,750","1,253,366",
Dec.21,2호선,31,역삼,"1,282,901","1,418,078",
Dec.21,2호선,32,강남,"2,193,108","2,171,328",
Dec.21,2호선,33,교대(법원.검찰청),"850,812","963,218",
Dec.21,2호선,34,서초,"562,101","540,271",
Dec.21,2호선,35,방배,"433,544","453,420",
Dec.21,2호선,36,사당,"985,932","1,083,572",
Dec.21,2호선,37,낙성대(강감찬),"740,416","711,684",
Dec.21,2호선,38,서울대입구(관악구청),"1,295,151","1,269,936",
Dec.21,2호선,39,봉천,"635,901","588,063",
Dec.21,2호선,40,신림,"1,733,842","1,678,357",
Dec.21,2호선,41,신대방,"711,811","691,451",
Dec.21,2호선,42,구로디지털단지,"1,569,329","1,568,160",
Dec.21,2호선,43,대림(구로구청),"645,828","660,728",
Dec.21,2호선,44,신도림,"1,295,645","1,286,835",
Dec.21,2호선,45,문래,"554,302","568,273",
Dec.21,2호선,46,영등포구청,"604,428","614,758",
Dec.21,2호선,47,당산,"483,011","559,150",
Dec.21,2호선,48,합정,"856,598","908,504",
Dec.21,2호선,49,홍대입구,"1,582,153","1,653,083",
Dec.21,2호선,50,신촌,"895,598","911,576",
Dec.21,2호선,51,이대,"352,005","368,965",
Dec.21,2호선,52,아현,"272,568","263,750",
Dec.21,2호선,53,충정로(경기대입구),"257,565","273,193",
Dec.21,2호선,54,용답,"75,198","74,763",
Dec.21,2호선,55,신답,"43,200","49,168",
Dec.21,2호선,56,신설동,"94,598","95,228",
Dec.21,2호선,57,도림천,"36,059","37,436",
Dec.21,2호선,58,양천구청,"178,707","187,617",
Dec.21,2호선,59,신정네거리,"272,809","280,985",
Dec.21,2호선,60,용두(동대문구청),"64,691","65,756",
Dec.21,3호선,61,지축,"118,314","113,190",
Dec.21,3호선,62,구파발,"553,255","529,549",
Dec.21,3호선,63,연신내,"993,189","940,221",
Dec.21,3호선,64,불광,"439,507","473,757",
Dec.21,3호선,65,녹번,"413,188","372,529",
Dec.21,3호선,66,홍제,"458,456","436,638",
Dec.21,3호선,67,무악재,"103,517","105,000",
Dec.21,3호선,68,독립문,"183,034","189,079",
Dec.21,3호선,69,경복궁(정부서울청사),"523,387","519,767",
Dec.21,3호선,70,안국,"524,011","545,557",
Dec.21,3호선,71,종로3가,"260,531","305,381",
Dec.21,3호선,72,을지로3가,"272,092","279,408",
Dec.21,3호선,73,충무로,24,0,
Dec.21,3호선,74,동대입구,"215,682","227,134",
Dec.21,3호선,75,약수,"347,451","337,937",
Dec.21,3호선,76,금호,"213,681","200,626",
Dec.21,3호선,77,옥수,"237,848","248,347",
Dec.21,3호선,78,압구정,"873,368","928,527",
Dec.21,3호선,79,신사,"835,074","879,116",
Dec.21,3호선,80,잠원,"128,056","126,053",
Dec.21,3호선,81,고속터미널,"1,200,122","1,193,209",
Dec.21,3호선,82,교대(법원.검찰청),"356,114","229,403",
Dec.21,3호선,83,남부터미널(예술의전당),"770,180","791,100",
Dec.21,3호선,84,양재(서초구청),"1,006,888","1,091,446",
Dec.21,3호선,85,매봉,"319,685","307,686",
Dec.21,3호선,86,도곡,"137,664","139,373",
Dec.21,3호선,87,대치,"275,845","275,669",
Dec.21,3호선,88,학여울,"53,939","56,625",
Dec.21,3호선,89,대청,"263,923","242,938",
Dec.21,3호선,90,일원,"256,861","248,655",
Dec.21,3호선,91,수서,"468,797","473,807",
Dec.21,3호선,92,가락시장,"233,713","228,694",
Dec.21,3호선,93,경찰병원,"190,210","189,960",
Dec.21,3호선,94,오금,"162,949","146,577",
Dec.21,4호선,100,수유(강북구청),"926,640","926,047",
Dec.21,4호선,101,미아(서울사이버대학),"401,641","387,311",
Dec.21,4호선,102,미아사거리,"756,498","732,431",
Dec.21,4호선,103,길음,"537,007","521,746",
Dec.21,4호선,104,성신여대입구(돈암),"555,395","533,928",
Dec.21,4호선,105,한성대입구(삼선교),"365,937","357,600",
Dec.21,4호선,106,혜화,"898,863","907,897",
Dec.21,4호선,107,동대문,"496,501","514,124",
Dec.21,4호선,108,동대문역사문화공원(DDP),"413,476","378,323",
Dec.21,4호선,109,충무로,"659,104","687,997",
Dec.21,4호선,110,명동,"596,549","633,514",
Dec.21,4호선,111,회현(남대문시장),"677,129","716,336",
Dec.21,4호선,112,서울역,"275,548","449,808",
Dec.21,4호선,113,숙대입구(갈월),"345,957","337,582",
Dec.21,4호선,114,삼각지,"130,595","149,640",
Dec.21,4호선,115,신용산,"438,770","463,578",
Dec.21,4호선,116,이촌(국립중앙박물관),"197,635","217,533",
Dec.21,4호선,117,동작(현충원),"36,942","41,333",
Dec.21,4호선,118,총신대입구(이수),"503,278","546,511",
Dec.21,4호선,119,사당,"678,194","576,674",
Dec.21,4호선,120,남태령,"33,664","28,196",
Dec.21,4호선,95,당고개,"347,840","316,032",
Dec.21,4호선,96,상계,"511,108","474,282",
Dec.21,4호선,97,노원,"516,652","579,646",
Dec.21,4호선,98,창동,"688,045","727,940",
